year,k,se_k
1961,0.0,0.4224653355303928
1962,-0.03867104868550281,0.4235636551469589
1963,-0.08571200675786664,0.42476322688581936
1964,-0.12250310843828119,0.4257591011292186
1965,-0.172939636426589,0.426989684478599
1966,-0.22215448703408788,0.4283432053154853
1967,-0.2620705626596355,0.42949736831629903
1968,-0.28851956344029656,0.43077811823273604
1969,-0.3166501197805644,0.4323007742879882
1970,-0.3492059305018909,0.43357376492884836
1971,-0.40146947232644836,0.4348622343384565
1972,-0.42544300520247835,0.4363447647016456
1973,-0.45546194249403926,0.43768469851716607
1974,-0.4817949373856969,0.4391268395618749
1975,-0.5275024285062724,0.44072009166111564
1976,-0.5176512104062432,0.44221015896052684
1977,-0.5490969813227808,0.44393539255247255
1978,-0.5676219563721941,0.44560588706003207
1979,-0.5796407024797097,0.4472524743517255
1980,-0.602444408645517,0.44887427997609025
1981,-0.6115001504236061,0.45063219624790596
1982,-0.6360696734025889,0.452366306356044
1983,-0.6379357897302759,0.4541699845224708
1984,-0.6256586955150413,0.4558649093280652
1985,-0.6276110944300284,0.45775131515745854
1986,-0.6244474212571233,0.4596081276264814
1987,-0.6143034386320727,0.4615934495666104
1988,-0.6049340703292981,0.46344848378145376
1989,-0.6133294341430061,0.46525219945962243
1990,-0.5973309004058556,0.467237619086298
1991,-0.6049896359956758,0.4691924652928714
1992,-0.5943540712757592,0.47113463605265327
1993,-0.5709503706693982,0.47323741864814167
1994,-0.5510731044447736,0.47529365080407204
1995,-0.5119061012956192,0.4774140339132683
1996,-0.4832654870064105,0.47954888132363177
1997,-0.46371141921215575,0.48169048465826364
1998,-0.4496675389598339,0.48396880759007055
1999,-0.4299289618702184,0.48606025033778877
2000,-0.39529926398976467,0.48817103801304657
2001,-0.3669753924866358,0.4904845541485003
2002,-0.33639527889983006,0.49279429940355374
2003,-0.2958542348086018,0.49504276737843445
2004,-0.24207475839927284,0.49731659757667473
2005,-0.21178559038269357,0.49964749212761495
2006,-0.16941300907252477,0.5019783168108132
2007,-0.13004409578860343,0.5043435984147757
2008,-0.10442416262304868,0.5067105260726416
2009,-0.08740180238903109,0.5092567799870638
2010,0.005890930593625804,0.511797576728647
2011,0.041589915458803944,0.5141036666579828
2012,0.0937507030162955,0.5166484484881682
2013,0.14672832040854647,0.5191477459431074
2014,0.20570135436775994,0.5216635456735124
2015,0.2607225439189625,0.5242385600398095
2016,0.3270773277088843,0.5268243395723454
2017,0.3950047550705297,0.5293620153470885
2018,0.4588696814252774,0.5319647098218566
2019,0.5239871380155889,0.5346018406205085
2020,0.5330243685273135,0.5372898235264099
2021,0.6965908888088677,0.5398537388276647
2022,0.7531356537254291,0.5424864196342553
