country_idx,iso_id,year_idx,year,actual,fitted,residual
0,AFG,42,2003,0.084637775507609,0.05152577257843921,0.033112002929169784
0,AFG,43,2004,0.0140421260551235,0.07493124857802447,-0.06088912252290097
0,AFG,44,2005,0.1064273797686574,0.07871057822916677,0.027716801539490632
0,AFG,45,2006,0.0521882247049347,0.0868885748114423,-0.0347003501065076
0,AFG,46,2007,0.1295035879437343,0.09910256452735478,0.030401023416379513
0,AFG,47,2008,0.0384991434769439,0.08257042911010723,-0.04407128563316333
0,AFG,48,2009,0.1938426697674664,0.06619256997049414,0.12765009979697226
0,AFG,49,2010,0.1342025302173972,0.1208272574680044,0.013375272749392791
0,AFG,50,2011,0.0042544846768777,0.09422467963533962,-0.08997019495846192
0,AFG,51,2012,0.1200230767895575,0.08985247531570316,0.030170601473854336
0,AFG,52,2013,0.0544952369455842,0.081324728630949,-0.026829491685364804
0,AFG,53,2014,0.026880883543459,0.06767157769478471,-0.04079069415132571
0,AFG,54,2015,0.0144088388995982,0.04555804259814883,-0.031149203698550627
0,AFG,55,2016,0.0223514762319396,0.03322604671293461,-0.010874570480995008
0,AFG,56,2017,0.0261257627200208,0.017337313808225896,0.008788448911794904
0,AFG,57,2018,0.0118221237808207,-0.008607419010793982,0.020429542791614682
0,AFG,58,2019,0.038370384605475,-0.036766869841726724,0.07513725444720172
0,AFG,59,2020,-0.0237918003463981,-0.1311989158034257,0.10740711545702758
0,AFG,60,2021,-0.2324219549774042,-0.09750870474906104,-0.13491325022834316
1,AGO,20,1981,-0.0449973786781257,-0.01123369011826647,-0.03376368855985923
1,AGO,21,1982,0.0,-0.02194615966997826,0.02194615966997826
1,AGO,22,1983,0.0411419570407503,-0.015994473318711733,0.05713643035946203
1,AGO,23,1984,0.0582689285493529,0.00892418291982,0.0493447456295329
1,AGO,24,1985,0.0344014217906334,0.017975288330253525,0.016426133460379876
1,AGO,25,1986,0.0285874737855245,0.024129294704352655,0.004458179081171843
1,AGO,26,1987,0.0400160567366576,0.0319152525746067,0.008100804162050897
1,AGO,27,1988,0.0594841173604159,0.04599471915463538,0.013489398205780524
1,AGO,28,1989,0.0004161280250976,0.0348776635403637,-0.0344615355152661
1,AGO,29,1990,-0.0351101992270095,0.03554733325105297,-0.07065753247806247
1,AGO,30,1991,0.009864775728527,0.020661612492624548,-0.010796836764097548
1,AGO,31,1992,-0.0601564642088305,0.014111721935344934,-0.07426818614417544
1,AGO,32,1993,-0.2742186779502056,-0.01163986395422889,-0.2625788139959767
1,AGO,33,1994,0.0133047325763548,-0.007818618097420238,0.02112335067377504
1,AGO,34,1995,0.1397619426261442,0.024824742399139232,0.11493720022700496
1,AGO,35,1996,0.1270234974953439,0.04733185829842845,0.07969163919691544
1,AGO,36,1997,0.0702187084846457,0.04908568942236957,0.02113301906227613
1,AGO,37,1998,0.0458443671948103,0.034313691207780384,0.011530675987029913
1,AGO,38,1999,0.02158035716241,0.03502580032216113,-0.013445443159751127
1,AGO,39,2000,0.030088994036955,0.04317494008013856,-0.013085946043183559
1,AGO,40,2001,0.0411995093920189,0.040750084836850164,0.00044942455516873425
1,AGO,41,2002,0.1280913993133836,0.046493562373735975,0.08159783693964762
1,AGO,42,2003,0.0294617101496186,0.0500995262184975,-0.020637816068878902
1,AGO,43,2004,0.1039094634441042,0.07714254969200929,0.026766913752094917
1,AGO,44,2005,0.1400227778376894,0.07528098090403085,0.06474179693365856
1,AGO,45,2006,0.1093027348714343,0.08725807388738316,0.02204466098405114
1,AGO,46,2007,0.1311159779330211,0.09016047358080004,0.04095550435222106
1,AGO,47,2008,0.1058903752053943,0.0769051061259993,0.028985269079395
1,AGO,48,2009,0.0085632306818297,0.03632135197500361,-0.027758121293173905
1,AGO,49,2010,0.0430439331910541,0.07786182832313973,-0.03481789513208563
1,AGO,50,2011,0.0341313723620366,0.0626778927538891,-0.0285465203918525
1,AGO,51,2012,0.0819679953557468,0.0612561163891646,0.020711878966582192
1,AGO,52,2013,0.0483578138731068,0.05470836519880354,-0.006350551325696736
1,AGO,53,2014,0.0470988229400077,0.05214491902982488,-0.0050460960898171744
1,AGO,54,2015,0.0093914773109879,0.03744936623791456,-0.02805788892692666
1,AGO,55,2016,-0.0261397992843619,0.028201597927443922,-0.05434139721180582
1,AGO,56,2017,-0.0014725819713028,0.02638754011559119,-0.02786012208689399
1,AGO,57,2018,-0.0132510252150517,0.012464597567919511,-0.02571562278297121
1,AGO,58,2019,-0.007047505003733,-0.004450471938552081,-0.002597033065180919
1,AGO,59,2020,-0.0580340117160815,-0.07724285560792121,0.01920884389183971
1,AGO,60,2021,0.0119207696634155,0.005622763092981042,0.0062980065704344584
1,AGO,61,2022,0.0299995110331146,-0.01370966413486785,0.04370917516798245
2,ALB,20,1981,0.0558663572546507,0.008714579700468073,0.04715177755418263
2,ALB,21,1982,0.0290596174869364,-0.0022474406624154453,0.03130705814935185
2,ALB,22,1983,0.0109887841664146,0.0020266213312033488,0.008962162835211252
2,ALB,23,1984,-0.0125949508849956,0.015337036620327038,-0.027931987505322636
2,ALB,24,1985,0.0176497621249609,0.014857900004883406,0.002791862120077492
2,ALB,25,1986,0.0548408047213122,0.02299007720106172,0.03185072752025048
2,ALB,26,1987,-0.0079096253245971,0.0282160538739209,-0.036125679198518
2,ALB,27,1988,-0.0143021869797941,0.03129127274936783,-0.04559345972916193
2,ALB,28,1989,0.0938231562951621,0.024215915894574613,0.06960724040058748
2,ALB,29,1990,-0.1006564877429632,0.019606609019831467,-0.12026309676279466
