iso_id,j0,j1,j2,se_j0,se_j1,se_j2
AFG,-1.1241036477570925,0.1552360601630079,-0.0021148561369832564,0.36316413793305835,0.014749945400351168,0.00012723869752472285
AGO,0.8472434299699634,0.065930536386346,-0.0011924839334571252,0.09712469748491406,0.007431274775361887,5.2582616224664516e-05
ALB,1.0002803774153222,0.05811674587189587,-0.001125759992858022,0.09584203154159737,0.007475368877485909,5.268273184327577e-05
AND,0.8442659361733733,0.05271050264318565,-0.0010467055750046916,0.05607758982325506,0.006549738257709037,3.449433636487005e-05
ARE,0.8735869696329853,0.04949130409300609,-0.0009681730903017827,0.06539055495543736,0.007108720960954191,4.244737901702886e-05
ARG,0.9291643328971381,0.0518946202675073,-0.0010321097220982317,0.0461474916617153,0.006153064945744603,2.388257613558374e-05
ARM,0.08046106771807544,0.09999419671937163,-0.001569031124918241,0.17970620044049795,0.009629111918915665,7.944972272507636e-05
AUS,0.8566103916591373,0.050352838947972794,-0.001019308927475704,0.041192623862868503,0.0060544467371734315,2.3869307026216653e-05
AUT,0.920255783796059,0.04794560583848906,-0.0009940583288245014,0.04644848015387497,0.005997674093588289,2.3954932550193762e-05
AZE,-0.8020394054647957,0.13676652201813494,-0.0019569931513066796,0.17996143848108448,0.009524922626410564,7.938074138561347e-05
BDI,1.354611173828739,0.048578979241527154,-0.0009604458636610913,0.04607971674749869,0.006269606468061045,2.4268878329023552e-05
BEL,0.9084291398605755,0.04797219700153979,-0.0009898247845659958,0.04470112948668243,0.006012508455359808,2.3938772165079622e-05
BEN,1.2982469019898553,0.05325720480642941,-0.0010419925869093807,0.05162583308219236,0.0061698675597328485,2.3887630156347757e-05
BFA,1.4526129856246133,0.0537833759634323,-0.0010704207077790462,0.04407230891084763,0.0062000734365407865,2.3990667909866987e-05
BGD,1.328037887491981,0.05555335417662088,-0.0011035395433611553,0.049357198942930156,0.006123518645397953,2.440756475974265e-05
BGR,1.108453083164335,0.04679167769911485,-0.0009803083065720308,0.09544236784683753,0.00749970830477475,5.267282919459178e-05
BHS,0.9497769907919746,0.04834155267698598,-0.0009791420623953412,0.04827204768351579,0.0060949338701223816,2.3932591018903147e-05
BIH,4.681859665389829,-0.08697256170170237,0.000272622857295457,0.22057314643816914,0.01072072196110773,9.110880727199797e-05
BLR,0.2844173198576449,0.08856690832340319,-0.001452999984017378,0.18092933573546063,0.009474382451407437,7.936228276200496e-05
BLZ,1.217789640059065,0.04796687901449502,-0.0010007799564112248,0.054638109304314175,0.006166573291931404,2.39525380208688e-05
BOL,1.114930091968544,0.051145259393443866,-0.0010245684192451143,0.05033341136986543,0.006178085990938933,2.3884480595271503e-05
BRA,1.1307726192645178,0.047083148780661485,-0.0009832189826042281,0.05263708007289859,0.006126478126722631,2.3917766387001067e-05
BRN,0.9159563734541833,0.04930277880836344,-0.0009818094905339747,0.06756597024857056,0.006887442032474182,4.0634910078172766e-05
BTN,1.5550256174952368,0.04081686801958784,-0.0009740071001980155,0.09861872262977585,0.007788198562349693,5.63326623677087e-05
BWA,1.3895560075578193,0.0396276527097502,-0.0009265785726021575,0.0481147148097532,0.006298267572253052,2.4722453633610647e-05
CAF,1.3027098670339914,0.05211591596865305,-0.0010017997129682585,0.05021395911827019,0.006182219994784634,2.4014373581992216e-05
CAN,0.9256651479732807,0.048065533113998915,-0.0009915701648206543,0.04687141392842035,0.006027308365826887,2.393077505370716e-05
CHE,0.8796218181089007,0.046228084924957336,-0.0009630158598515903,0.09123356967404306,0.007359100502354772,5.2555989125258446e-05
CHL,0.9996178294985423,0.05297993587782945,-0.0010738397154823887,0.04875669795679047,0.006158921291570262,2.3991360232759585e-05
CHN,1.3503614862714093,0.05154308572832132,-0.00113371636530403,0.04330575572775313,0.006545144408967244,2.544945179688222e-05
CIV,1.225717674695512,0.04787475455170312,-0.0009485157802231504,0.05488019618114713,0.006161803649792636,2.3864437134173898e-05
CMR,1.2447343206653703,0.050493528202924985,-0.001000650635267046,0.0523675885836329,0.0061962382989794885,2.3896233545925427e-05
COD,1.1511571330179067,0.05393627506005142,-0.0009828958918212671,0.05463342577993437,0.006047118970162705,2.398625617801684e-05
COG,1.2302854035733133,0.04857069989276581,-0.0009875873420421878,0.05270771302000958,0.006199928506474268,2.4019768006260203e-05
COL,1.1255292371617898,0.0493053979150211,-0.0010100819435059083,0.05257871703716583,0.006149755525599021,2.3871285333565348e-05
CRI,1.0620389835224662,0.05060729411367118,-0.0010314141745313143,0.05213855235235522,0.006150822524616559,2.388189987731563e-05
CUB,1.171935234384067,0.04823608254766508,-0.0010018249551533506,0.06520463715209034,0.006496442068701077,3.441411470954059e-05
CYP,1.274151023251293,0.03442863632577644,-0.0008424753700871368,0.07557025472350186,0.006628390868504819,4.2591988548092606e-05
CZE,0.737740495160123,0.05959897888625054,-0.0011169453095860593,0.17920553768099703,0.00946519632459963,7.936099434078416e-05
DEU,0.917152243359156,0.0478211968114827,-0.0009903669587318642,0.05766325894597356,0.006372596352536163,3.444366232970335e-05
DJI,-1.0499123721280126,0.14006789123594926,-0.0018668617478564409,0.7397317136415439,0.02359141794366692,0.0001888444769844628
DNK,0.8761318377416663,0.04829987257234131,-0.0009908452190727432,0.043374854943709726,0.006022669671184324,2.3914289636728753e-05
DOM,1.2125977435496844,0.04883222909218634,-0.0010180435591093141,0.0527151832859974,0.006210992551694909,2.3922644960271265e-05
DZA,1.0731116465829074,0.05110561963188945,-0.0010260952430051345,0.0495760899087162,0.006141168587484702,2.3882597853955123e-05
ECU,1.0835406723451348,0.050290484345842226,-0.0010198559715726696,0.051428126274264525,0.006141772068996237,2.3881218937892725e-05
EGY,1.2438730748933176,0.04813517889755925,-0.0010054081673663978,0.04820612063719852,0.0061961181569111295,2.3964841354219628e-05
ERI,4.326979492536186,-0.09189639104217637,0.000645736506567629,0.4464379210665456,0.021856387742429536,0.00024936836988153976
ESP,0.975956612864082,0.04638929616002194,-0.0009721295878414443,0.04601256702244773,0.006012411328872858,2.397564528054144e-05
EST,1.6783457901355923,0.024519963152387206,-0.0007868401844056683,0.23583089327800452,0.010919071924393505,9.398369976319796e-05
ETH,1.012942573017634,0.07074350509498384,-0.0012622501698559274,0.10272094489522396,0.007402686617186018,5.582084985275361e-05
FIN,0.9486610628797014,0.04835360997495286,-0.00100552699627518,0.04981007264975411,0.006020015311540973,2.3905415189727327e-05
FJI,1.1581301492204146,0.04892047008409746,-0.0009990209240380368,0.05476201000166933,0.006147647547716402,2.3901998803415305e-05
FRA,0.917667298572839,0.047534612507215857,-0.0009840385204512095,0.04446906528577362,0.006003325310440576,2.3985004777541513e-05
FRO,-0.9337186137933375,0.11498964756245406,-0.0015915803256265626,0.47002731221867544,0.01721439587804548,0.00014168927891632696
GAB,1.1323490035885222,0.044058895995838565,-0.0009093205807887764,0.05427126712634973,0.006091398354322123,2.410804340587682e-05
GBR,0.8745191069735749,0.04991850067986606,-0.0010161501780827226,0.044269779045777106,0.006034283634597832,2.389850461687746e-05
GEO,1.1168333270724706,0.04652632768820811,-0.0009465974864704269,0.05360076011671968,0.006305795638997277,2.8623613412371093e-05
GHA,1.192086569465465,0.0581623864455601,-0.0011133229584153678,0.0541613316098991,0.006083057445028616,2.4401216970017828e-05
GIN,1.5065174248374849,0.044848942176526144,-0.0009535839422852715,0.13960536937455117,0.008523370447874701,6.787946768642577e-05
GMB,1.3739569711025355,0.05002632313510267,-0.0009926044512489351,0.05482357028586875,0.0063530120485051226,2.951843746802279e-05
